actores,estado,fecha_estreno,generos,puntaje,temporadas,titulo
"Enver Gjokaj,Hayley Atwell,James D'Arcy,Wynn Everett",FINALIZADA,2015,"Acción,Aventura,Marvel",5,2,Agente Carter
"Antonia Giesen,Antonia Zegers,Daniela Vega,Lucas Balmaceda,María Gracia Omegna,Mariana Di Girolamo,Paula Luchsinger",FINALIZADA,2020,"Crimen,Drama,Series de Amazon",3.5,1,La Jauría
"Ashlie Atkinson,BD Wong,Carly Chaikin,Christian Slater,Elliot Villar,Grace Gummer,Martin Wallström,Michael Cristofer,Rami Malek",FINALIZADA,2015,"Crimen,Drama,Series de USA Network",4,4,Mr. Robot
"Adam Godley,Bayo Gbadamosi,Belinda Bromilow,Charity Wakefield,Douglas Hodge,Elle Fanning,Gwilym Lee,Nicholas Hoult,Phoebe Fox,Sacha Dhawan,Sebastian de Souza",FINALIZADA,2020,"Comedia,Drama,Series de Hulu",3.5,1,The Great
"Andy Buckley,Ethan Phillips,Hugh Laurie,Josh Gad,Lenora Crichlow,Nikki Amuka-Bird,Suzy Nakamura,Zach Woods",EMISION,2020,"Comedia,Ciencia ficción,Fantasía,Series de HBO",5,1,Avenue 5
"André Sogliuzzo,Cricket Leigh,Dante Basco,Dee Bradley Baker,Grey DeLisle,Jack De Sena,Jennie Kwan,Jessie Flower,Mae Whitman,Mark Hamill,Olivia Hack,Zach Tyler",FINALIZADA,2005,"Acción,Animación,Aventura,Fantasía,Series de Netflix",4.5,3,Avatar: La leyenda de Aang
"Amy Okuda,Brigette Lundy-Paine,Graham Rogers,Jenna Boyd,Jennifer Jason Leigh,Keir Gilchrist,Michael Rapaport,Nik Dodani",EMISION,2017,"Comedia,Drama,Series de Netflix",3.5,3,Atypical
"Asante Blackk,Aunjanue Ellis,Caleel Harris,Ethan Herisse,Jharrel Jerome,John Leguizamo,Kylie Bunbury,Marquis Rodriguez,Marsha Stephanie Blake,Michael Kenneth Williams,Niecy Nash",FINALIZADA,2019,"Drama,Series de Netflix",3.5,1,Así nos ven
"Ben Lewis,David Ramsey,Joseph David-Jones,Juliana Harkavy,Katherine McNamara,Katie Cassidy,LaMonica Garrett,Rick Gonzalez,Stephen Amell",FINALIZADA,2012,"Acción,Aventura,Crimen,DC Comics,Drama,Misterio,Series de The CW",4.5,8,Arrow
"Carla Gugino,Elizabeth Reaser,Henry Thomas,Julian Hilliard,Kate Siegel,Lulu Wilson,Mckenna Grace,Michiel Huisman,Oliver Jackson-Cohen,Paxton Singleton,Timothy Hutton,Victoria Pedretti",EMISION,2018,"Drama,Misterio,Series de Netflix",3.5,2,La maldición de Hill House
"Adam Irigoyen,Ato Essandoh,Hilary Swank,Josh Charles,Mark Ivanir,Ray Panthaki,Talitha Bateman,Vivian Wu",EMISION,2020,"Drama,Ciencia ficción,Fantasía,Series de Netflix",5,1,Lejos
