actores,estado,fecha_estreno,generos,puntaje,temporadas,titulo
"Brandee Evans,Carolyn Braver,Dan J. Johnson,Elarica Johnson,Harriett D. Foy,J. Alphonse Nicholson,Nicco Annan,Parker Sawyers,Shannon Thornton,Tyler Lepley",EMISION,2020,"Drama,Series de Starz",5,1,P-Valley
"Alison Smiley,Amanda Schull,Dulé Hill,Gabriel Macht,Katherine Heigl,Malcolm Gets,Rick Hoffman,Sarah Rafferty",FINALIZADA,2011,"Drama,Series de USA Network",4,9,Suits
"Aria Shahghasemi,Danielle Rose Russell,Jenny Boyd,Kaylee Bryant,Matthew Davis,Peyton Alex Smith,Quincy Fouse",EMISION,2018,"Drama,Ciencia ficción,Fantasía,Series de The CW",4.5,2,Legacies
,EMISION,2018,"Crimen,Documental,Series de Netflix",2.5,2,Soy un asesino
"Boyd Holbrook,Brian Geraghty,Daniel David Stewart,Génesis Rodríguez,Kiefer Sutherland,Natalie Martinez,Tiya Sircar",EMISION,2020,"Acción,Aventura,Drama",0,1,The Fugitive
"Charles Michael Davis,Daniel Gillies,Danielle Rose Russell,Joseph Morgan,Phoebe Tonkin,Riley Voelkel,Steven Krueger,Yusuf Gatewood",FINALIZADA,2013,"Ciencia ficción,Drama,Fantasía,Misterio,Series de The CW",4.5,5,Los Originales
"Alison Pill,Evan Evagora,Harry Treadaway,Isa Briones,Jeri Ryan,Jonathan Del Arco,Michelle Hurd,Patrick Stewart,Santiago Cabrera",EMISION,2020,"Ciencia ficción,Fantasía,Series de CBS All Access",4,1,Star Trek: Picard
"Adam Godley,Aidan Gallagher,Cameron Britton,Colm Feore,David Castañeda,Ellen Page,Emmy Raver-Lampman,Jordan Claire Robbins,Justin H. Min,Mary J. Blige,Robert Sheehan,Sheila McCarthy",EMISION,2019,"Acción,Aventura,Ciencia ficción,Fantasía,Series de Netflix",4,2,The Umbrella Academy
"Alberto Ammann,Andrea Londo,Arturo Castro,Damián Alcázar,Francisco Denis,Matias Varela,Matt Whelan,Michael Stahl-David,Pedro Pascal,Pêpê Rapazote",FINALIZADA,2015,"Crimen,Drama,Series de Netflix",4,3,Narcos
"Antony Starr,Chace Crawford,Dominique McElligott,Elisabeth Shue,Erin Moriarty,Jessie T. Usher,Karl Urban,Nathan Mitchell,Tomer Kapon",EMISION,2019,"Acción,Aventura,Ciencia ficción,Fantasía,Series de Amazon",3.5,2,The Boys
"Brandon Butler,Brianna Hildebrand,Dana Green,Kiana Madeira,Larry Sullivan,Odiseas Georgiadis,Quintessa Swindell",EMISION,2019,"Drama,Series de Netflix",5,2,Trinkets
"Ashley Johnson,Dee Bradley Baker,Greg Cipes,Hynden Walch,Khary Payton,Ron Perlman,Scott Menville,Tara Strong",FINALIZADA,2003,"Acción,Animación,Aventura,Series de Cartoon Network",4,5,Los jóvenes titanes
"Anthony Ames,Bonnie Piesse,Catherine Oxenberg,Mark Vicente,Sarah Edmondson",EMISION,2020,"Documental,Series de HBO",5,1,The Vow
"Anna Torv,Annie Parisse,Ashton Holmes,Brendan Fletcher,Caroline Dhavernas,Claire van der Boom,Isabel Lucas,Jacob Pitts,James Badge Dale,Jon Bernthal,Jon Seda,Joseph Mazzello",FINALIZADA,2010,"Acción,Aventura,Bélica,Drama,Historia,Series de HBO",4,1,The Pacific
"David Alexander Sjøholt,Emma Bones,Herman Tømmeraas,Jonas Strand Gravli,Theresa Frostad Eggesbø",EMISION,2020,"Drama,Acción,Aventura,Series de Netflix",2.5,1,Ragnarok
"Abbey Lee,Aunjanue Ellis,Courtney B. Vance,Jonathan Majors,Jurnee Smollett,Michael Kenneth Williams,Wunmi Mosaku",EMISION,2020,"Ciencia ficción,Drama,Fantasía,Misterio,Series de HBO",4,1,Territorio Lovecraft
"Ben Daniels,Helena Bonham Carter,Jason Watkins,Marion Bailey,Olivia Colman,Tobias Menzies",EMISION,2016,"Drama,Series de Netflix",4.5,4,The Crown
"Billy Jenkins,Catherine Walker,Daniel Sharman,Devon Terrell,Emily Coates,Gustaf Skarsgård,Katherine Langford,Lily Newmark,Matt Stokoe,Peter Mullan,Sebastian Armesto,Shalom Brune-Franklin",EMISION,2020,"Acción,Aventura,Ciencia ficción,Fantasía,Series de Netflix",4,1,Maldita
"Ana Fernández,Ana Polvorosa,Blanca Suárez,Borja Luna,Maggie Civantos,Nadia de Santiago,Nico Romero,Sergio Mur,Yon González",EMISION,2017,"Drama,Series de Netflix",4.5,5,Las chicas del cable
"Adrian Martinez,Edi Gathegi,Famke Janssen,Ryan Eggold,Tawny Cypress",FINALIZADA,2017,"Crimen,Drama,Series de NBC",5,1,The Blacklist: Redemption
"Alba Baptista,Emilio Sakraya,Kristina Tonteri-Young,Lorena Andrea,May Simón Lifschitz,Thekla Reuten,Toya Turner,Tristán Ulloa",EMISION,2020,"Acción,Aventura,Ciencia ficción,Drama,Fantasía,Series de Netflix",4.5,1,La Monja Guerrera
"Chris Chalk,John Lithgow,Juliet Rylance,Matthew Rhys,Shea Whigham,Tatiana Maslany",EMISION,2020,"Crimen,Drama,Misterio,Series de HBO",5,1,Perry Mason
,EMISION,2020,"Drama,Misterio,Series de Netflix",3.5,1,Misterios sin resolver
"Jason Bateman,Julia Garner,Laura Linney,Skylar Gaertner,Sofia Hublitz",EMISION,2017,"Crimen,Drama,Series de Netflix",4,3,Ozark
"Aurora Burghart,Gabriel Darku,J. C. MacKenzie,Maxim Roy,Megan Follows,Stephen McHattie,Tamara Taylor,Wendy Crewson",FINALIZADA,2020,"Ciencia ficción,Drama,Series de Netflix",5,1,La facción Octubre
"Amanda Abbington,Benedict Cumberbatch,Jonathan Aris,Louise Brealey,Mark Gatiss,Martin Freeman,Rupert Graves,Una Stubbs",FINALIZADA,2010,"Crimen,Drama,Misterio,Series de BBC One",4,4,Sherlock
"Anthony Andrews,Ben Batt,Charlotte Hope,Craig Parkinson,Edward Holcroft,Gerard Kearns,Henry Lloyd-Hughes,James Harkness,Joncie Elmore,Kate Dickie,Kate Phillips,Kelly Price",FINALIZADA,2020,"Drama,Series de Netflix",5,1,Un juego de caballeros
"Alfred Molina,Colin O'Donoghue,David Bradley,Emile Hirsch,James Faulkner,John Rhys-Davies,Kelsey Grammer,Lena Headey,Lexi Medrano,Rodrigo Blaas,Rupert Penry-Jones,Stephanie Beatriz",FINALIZADA,2020,"Animación,Series de Netflix",5,1,Magos: Relatos de Arcadia
Samira Wiley,EMISION,2020,Documental,4,1,Noche en la tierra
"Alexander Dreymon,David Dawson,Ian Hart,Thomas W. Gabrielsson",EMISION,2015,"Acción,Aventura,Drama,Series de BBC Two,Series de Netflix",3.5,4,The Last Kingdom
"Adelfa Calvo,Álex Gadea,Carlo Costanzia Jr,Carlos Scholz,Cristina Castaño,Elisa Matilla,Javier Mora,Jesús Mosquera,José de la Torre,José Manuel Seda,Juanjo Almeida,María Pedraza",FINALIZADA,2019,"Crimen,Drama,Misterio,Series de Atresplayer,Series de Netflix",4,1,Toy Boy
"Aaron Staton,Alyssa Diaz,Diego Luna,Joaquín Cosío,Mark Kubr,Matt Letscher,Michael Peña,Tenoch Huerta",EMISION,2018,"Crimen,Drama,Series de Netflix",3.5,2,Narcos: Mexico
"Alex Lawther,Jessica Barden,Josh Dylan,Naomi Ackie",FINALIZADA,2017,"Comedia,Crimen,Drama,Series de Channel 4,Series de Netflix",4.5,2,The End of the Fucking World
"Christina Applegate,James Marsden,Linda Cardellini",EMISION,2019,"Crimen,Drama,Misterio,Series de Netflix",3.5,2,Muertos para mí
"Angus Sampson,Brían F. O'Byrne,David Ajala,Eoin Macken,Gretchen Mol,Jodie Turner-Smith,Maya Eshet,Sam Strike",FINALIZADA,2018,"Ciencia ficción,Fantasía,Series de Syfy",3,1,Nightflyers
"Amir Wilson,Anne-Marie Duff,Ariyon Bakare,Clarke Peters,Dafne Keen,Daniel Frogson,Gary Lewis,James Cosmo,James McAvoy,Lewin Lloyd,Lia Williams,Lin-Manuel Miranda",EMISION,2019,"Drama,Ciencia ficción,Fantasía,Series de BBC One",2.5,1,La Materia Oscura
"Caleb McLaughlin,Cara Buono,Charlie Heaton,Dacre Montgomery,David Harbour,Finn Wolfhard,Gaten Matarazzo,Joe Keery,Maya Hawke,Millie Bobby Brown,Natalia Dyer,Noah Schnapp",EMISION,2016,"Ciencia ficción,Drama,Fantasía,Misterio,Series de Netflix",4.5,4,Stranger Things
"Allen Evangelista,Austin Butler,Christopher Massey,Erin Sanders,Jack Salvatore,Jamie Lynn Spears,Jr.,Matthew Underwood,Paul Butcher,Sean Flynn,Victoria Justice",FINALIZADA,2005,"Comedia,Drama,Series de Nickelodeon",4.5,4,Zoey 101
"Anna Maria Barbany,Assun Planas,Azul Fernández,Boris Ruiz,Carlos Cuevas,Claudia Vega,David Solans,Eva Martín,Francesc Orella,Gloria Ramos,Lesley Grant,María Pujalte",EMISION,2019,"Comedia,Drama,Series de Movistar+",4,1,Merlí: Sapere Aude
"Alejandro Casaseca,Laura Baena,Maggie Civantos,Salva Reina,Vicente Romero",FINALIZADA,2019,"Crimen,Drama,Series de La 1",3.5,1,Malaka
"Brays Efe,Fernando Albizu,Itziar Castro,Javier Bódalo,Mariona Terés,Marta Martin,Saida Benzal",EMISION,2020,"Comedia,Series de HBO",3,1,Por H o por B
,EMISION,2019,"Reality,Series de Netflix",3.5,3,Sunset: La milla de oro
"Darin Olien,Zac Efron",EMISION,2020,Documental,3.5,1,Zac Efron: Con los pies sobre la tierra
"Jon Favreau,Roy Choi",EMISION,2019,"Documental,Series de Netflix",0,1,The Chef Show
"Chris Parnell,Justin Roiland,Sarah Chalke,Spencer Grammer",EMISION,2013,"Animación,Ciencia ficción,Comedia",4,4,Rick y Morty
"Catherine Taber,Corey Burton,David Tennant,Dee Bradley Baker,Ian Abercrombie,James Arnold Taylor,Matt Lanter,Matthew Wood,Terrence 'T.C.' Carson,Tom Kane",EMISION,2008,"Acción,Animación,Aventura,Ciencia ficción,Fantasía,Series de Cartoon Network,Series de Disney+,Series de Netflix",4.5,7,Star Wars: La Guerra de los Clones
"Aidan Gillen,Ksenia Solo,Laura Mennell,Michael Harney,Michael Malarkey,Neal McDonough",FINALIZADA,2019,"Ciencia ficción,Fantasía,Misterio",3.5,2,Proyecto Libro Azul
"Jim Parsons,Johnny Galecki,Kaley Cuoco,Kunal Nayyar,Mayim Bialik,Melissa Rauch,Simon Helberg",FINALIZADA,2007,"Comedia,Series de CBS All Access",4,12,The Big Bang Theory
"Alistair David Herz,Cristal Bubblin,Michael C. Pizzuto,Nelson Hayne,Pelé Kizy",FINALIZADA,2020,"Documental,Series de HBO",4,1,McMillions
"Amber Tamblyn,Ashton Kutcher,Conchata Ferrell,Jon Cryer",FINALIZADA,2003,"Antiguas,Comedia,Series de Amazon,Series de CBS",3.5,12,Two and Half Men
"Arturo Vidal,Ernesto Valverde,Gerard Piqué,John Malkovich,Jordi Alba,Lionel Messi,Marc-André Ter Stegen,Sergio Busquets",FINALIZADA,2019,Documental,5,1,Matchday: Inside FC Barcelona
"Jason Alexander,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards",FINALIZADA,1989,"Antiguas,Comedia,Series de Amazon",0,9,Seinfeld
,EMISION,2020,"Documental,Series de Netflix",1.5,1,Street Food: Latinoamérica
Aaron Mahnke,FINALIZADA,2017,"Documental,Drama,Misterio,Series de Amazon",5,2,Lore
,EMISION,2020,Documental,5,1,The Last Narc
"Benito Martinez,Catherine Dent,Cathy Cahlin Ryan,CCH Pounder,David Marciano,David Rees Snell,Jay Karnes,Kenny Johnson,Laurie Holden,Michael Chiklis,Michael Jace,Paula Garcés",FINALIZADA,2002,"Acción,Aventura,Crimen,Drama,Series de Amazon",3.5,7,The Shield: Al margen de la ley
"Claudine Mboligikpelani Nako,Elijah Stevenson,Jahi Di'Allo Winston,Patch Darragh,Peyton Kennedy,Quinn Liebling,Rio Mangini,Sydney Sweeney",FINALIZADA,2018,"Comedia,Drama,Series de Netflix",0,1,Todo es una Mierda
"Ben Platt,Bette Midler,Gwyneth Paltrow,Judith Light,Julia Schlaepfer,Laura Dreyfuss,Lucy Boynton,Rahne Jones,Theo Germaine,Zoey Deutch",EMISION,2019,"Comedia,LGBT,Series de Netflix",5,2,The Politician
"Bryson Bauguss,Emily Neves,Marty Fleck",EMISION,2019,"Acción,Animación,Aventura,Ciencia ficción,Fantasía,Series de Netflix",4,1,Saint Seiya: Los Caballeros del Zodiaco
"Alex Frnka,Bubba Lewis,Christine Scott Bennett,Joey Pollari,Mark L. Young,Zack Pearlman",FINALIZADA,2012,Comedia,5,1,The Inbetweeners
"Manoj Bajpayee,Neeraj Madhav,Priyamani,Sharib Hashmi,Vedant Sinha",FINALIZADA,2019,"Acción,Aventura,Comedia,Drama",0,1,The Family Man
"Cláudia Okuno,Danilo Mesquita,Mariana Sena",EMISION,2020,"Ciencia ficción,Fantasía,Series de Netflix",5,1,Spectros
"Mary J. Blige,Method Man,Michael Rainey Jr.,Paige Hurd",EMISION,2020,"Crimen,Drama,Series de Starz",4,1,Power Book II: Ghost
Jordan Peele,EMISION,2019,"Ciencia ficción,Drama,Fantasía,Misterio",4,1,The Twilight Zone
"Melissa Joan Hart,Nick Bakay",FINALIZADA,1996,"Antiguas,Ciencia ficción,Comedia,Familia,Fantasía,Series de ABC,Series de The WB",4,7,"Sabrina, la bruja adolescente"
,FINALIZADA,2020,"Documental,Series de Netflix",3,1,"Nisman: El fiscal, la presidenta y el espía"
,EMISION,2016,"Documental,Series de Netflix",5,5,Last Chance U
"Björn Thors,Edda Björgvinsdóttir,Gunnar Bersi Björnsson,Nína Dögg Filippusdóttir,Sigurður Skúlason",FINALIZADA,2019,"Crimen,Drama,Series de RÚV",5,1,Los asesinatos del Valhalla
"Andres Sandoval,Carlos Torres,David Ojalvo,Lucho Velasco,Mabel Moreno",EMISION,2018,"Drama,Series de Caracol TV,Series de Netflix,Telenovela",4.5,1,La Reina del Flow
"Alisha Boe,Amy Hargreaves,Brandon Flynn,Brenda Strong,Christian Navarro,Devin Druid,Dylan Minnette,Grace Saif,Justin Prentice,Miles Heizer,Ross Butler,Timothy Granaderos",EMISION,2017,"Drama,Misterio,Series de Netflix",4,4,Por trece razones
"Ignacio Serricchio,Maxwell Jenkins,Mina Sundwall,Molly Parker,Parker Posey,Taylor Russell,Toby Stephens",EMISION,2018,"Acción,Aventura,Ciencia ficción,Drama,Fantasía",0,2,Perdidos en el espacio
"Álex Gadea,Álex García,Alicia Borrachero,Alicia Rubio,Amaia Salamanca,Anna Moliner,Cristóbal Suárez,Daniel Lundh,Federico Pérez Rey,José Sacristán,Miguel Rellán,Nuria Herrero",FINALIZADA,2017,"Drama,Series de Antena 3",5,1,Tiempos de Guerra
"Alex Fitzalan,Alex MacNicoll,Gideon Adlon,Jacques Colimon,José Julián,Kathryn Newton,Kristine Froseth,Maggie Budzyna,Natasha Liu Bordizzo,Olivia DeJonge,Rachel Keller,Sean Berdy",FINALIZADA,2019,"Ciencia ficción,Drama,Fantasía,Series de Netflix",4.5,2,The Society
"Connor Jessup,Darby Stanchfield,Emilia Jones,Jackson Robert Scott,Thomas Mitchell Barnet",EMISION,2020,"Acción,Ciencia ficción,Drama,Fantasía",4,1,Locke & Key
,EMISION,2019,"Comedia,Series de Amazon",5,1,Modern Love
"Allegra Edwards,Andy Allo,Owen Daniels,Robbie Amell,Yvetta Fisher,Zainab Johnson",EMISION,2020,"Comedia,Ciencia ficción,Fantasía,Series de Amazon",4.5,1,Upload
"Brittany O'Grady,Colton Ryan,Kevin Valdez,Phillip Johnson Richardson,Sean Teale,Shalini Bathina",EMISION,2020,"Comedia,Drama",5,1,Little Voice
"Dick Carlier,Iwein Segers,Manou Kersting,Peter De Graef,Ruth Beeckmans,Stef Aerts",EMISION,2020,"Acción,Aventura,Drama,Misterio",5,1,Los Ladrones del Bosque
"Bethany Antonia,Emily Carey,Jessica Alexander,Kim Adis,Mia McKenna-Bruce",EMISION,2020,"Crimen,Drama,Series de BBC iPlayer",4,1,Sed de revancha
"Adrian Grösser,Albert Baró,Anna Maria Barbany,Anna Ycobalzeta,Assun Planas,Boris Ruiz,Candela Antón,Carlos Cuevas,Carlota Olcina,David Solans,Elisabet Casanovas,Ferran Rañé",FINALIZADA,2015,"Comedia,Drama,Series de La Sexta,Series de Netflix,Series de TV3",4,3,Merlí
"Adam Wietrzyński,Agnieszka Grochowska,Ewa Skibińska,Grzegorz Damięcki,Hubert Miłkowski,Jacek Koman,Krzysztof Zarzecki,Martyna Byczkowska,Roman Gancarczyk,Wiktoria Filus",EMISION,2020,"Drama,Misterio,Series de Netflix",2.5,1,The Woods
"Alejandro Speitzer,Erik Hayser,Maite Perroni",EMISION,2020,"Drama,Misterio,Series de Netflix",3.5,1,Oscuro Deseo
"Amber Midthunder,Aubrey Plaza,Bill Irwin,Dan Stevens,Hamish Linklater,Jeremie Harris,Lauren Tsai,Navid Negahban,Rachel Keller",FINALIZADA,2017,"Acción,Aventura,Ciencia ficción,Fantasía,Marvel,Series de FOX,Series de Netflix",0,3,Legion
"Alexander Calvert,Jared Padalecki,Jensen Ackles,Misha Collins",EMISION,2005,"Ciencia ficción,Drama,Fantasía,Misterio,Series de The CW,Series de The WB",4.5,15,Supernatural
"Christa B. Allen,Emily VanCamp,Gabriel Mann,James Tupper,Joshua Bowman,Karine Vanasse,Madeleine Stowe,Nick Wechsler",FINALIZADA,2011,"Drama,Misterio,Series de ABC,Soap",5,4,Revenge
"Adam McArthur,Artt Butler,Eden Sher,Grey DeLisle",FINALIZADA,2015,"Acción,Animación,Aventura,Ciencia ficción,Comedia,Fantasía,Series de Disney XD",4.5,4,Star vs las fuerzas del mal
"Dan Castellaneta,Hank Azaria,Harry Shearer,Julie Kavner,Nancy Cartwright,Yeardley Smith",EMISION,1989,"Animación,Antiguas,Comedia,Series de FOX",4,31,Los Simpson
"Ed Helms,Jenna Fischer,John Krasinski,Rainn Wilson",FINALIZADA,2005,"Comedia,Series de Amazon",5,9,The Office
"Domhnall Gleeson,Merritt Wever",EMISION,2020,"Comedia,Drama,Series de HBO",5,1,Run
,EMISION,2020,Documental,2.5,1,Los más buscados del mundo
"Bill Rogers,Brook Chalmers,Edward Bosco,Frank Todaro,Jake Foushee,Jason Marnocha,Joe Zieja,Kaiser Johnson,Keith Silverstein,Linsay Rousseau,Mark Whitten,Miles Luna",EMISION,2020,"Acción,Animación,Aventura,Ciencia ficción,Fantasía,Kids",4.5,1,Transformers: La guerra por Cybertron
"Asante Blackk,Charles Kim,Chris Sullivan,Chrissy Metz,Eris Baker,Faithe Herman,Griffin Dunne,Hannah Zeile,Jon Huertas,Jonathan Davis,Justin Hartley,Logan Shroyer",EMISION,2016,"Comedia,Drama,Series de NBC",5,4,This Is Us
"Alex Black,Austin Butler,Carlie Casey,Christian Serratos,Daniel Curtis Lee,Daran Norris,Devon Werkheiser,Don Creech,Hamilton Mitchell,Kyle Swann,Lindsey Shaw,Meshach Taylor",FINALIZADA,2004,"Comedia,Series de Nickelodeon",4.5,3,Manual de supervivencia escolar de Ned
"Brenda Song,Cole Sprouse,Debby Ryan,Dylan Sprouse,Phill Lewis",FINALIZADA,2008,"Comedia,Familia,Series de Disney Channel",3.5,3,Zack y Cody: Gemelos a bordo
"Hikaru Midorikawa,Kaito Ishikawa,Makoto Furukawa",EMISION,2015,"Acción,Animación,Anime,Aventura,Comedia",4,2,One Punch Man
"Harold Torres,Jean Roland Dufresne",EMISION,2017,"Comedia,Acción,Aventura,Series de Movistar+",5,2,Run Coyote Run
"Brenda Song,Cole Sprouse,Debby Ryan,Dylan Sprouse,Phill Lewis",FINALIZADA,2008,"Comedia,Familia,Series de Disney Channel",5,3,Zack y Cody: Gemelos en acción
"Chloe Bennet,Clark Gregg,Elizabeth Henstridge,Henry Simmons,Iain De Caestecker,Jeff Ward,Ming-Na Wen,Natalia Córdova-Buckley",EMISION,2013,"Acción,Aventura,Ciencia ficción,Drama,Familia,Marvel,Series de ABC",5,7,Marvel's Agentes de S.H.I.E.L.D.
"Bill Barretta,Dave Goelz,David Rudman,Eric Jacobson,Julianne Buescher,Matt Vogel,Mike Quinn,Peter Linz",EMISION,2020,"Comedia,Familia,Series de Disney+",3.5,1,Más Muppets que nunca
"Ariana Grande,Cameron Ocasio,Jennette McCurdy,Maree Cheatham",FINALIZADA,2013,"Comedia,Series de Nickelodeon",4,1,Sam y Cat
"April Stewart,Matt Stone,Mona Marshall,Trey Parker",EMISION,1997,"Animación,Antiguas,Comedia,Series de Comedy Central",5,23,South Park
"Bryan Cranston,Christopher Masterson,Erik Per Sullivan,Frankie Muniz,James Rodriguez,Jane Kaczmarek,Justin Berfield,Lukas Rodriguez",FINALIZADA,2000,"Antiguas,Comedia,Series de Amazon,Series de FOX",4.5,7,Malcolm in the Middle
"Dawnn Lewis,Eugene Cordero,Fred Tatasciore,Gillian Vigman,Jack Quaid,Jerry O'Connell,Noël Wells,Tawny Newsome",EMISION,2020,"Acción,Animación,Aventura,Ciencia ficción,Comedia,Fantasía,Series de CBS All Access",0,1,Star Trek: Lower Decks
"Alan Reed,Allan Melvin,Bea Benaderet,Daws Butler,Don Messick,Doug Young,Gerry Johnson,Hal Smith,Harvey Korman,Henry Corden,Howard Morris,Jean Vander Pyl",FINALIZADA,1960,"Animación,Antiguas,Comedia,Familia,Kids,Series de ABC",4.5,6,Los Picapiedra
"Deedee Magno,Estelle,Grace Rolek,Jennifer Paz,Michaela Dietz,Shelby Rabara,Tom Scharpling,Zach Callison",FINALIZADA,2013,"Acción,Animación,Aventura,Ciencia ficción,Comedia,Familia,Fantasía,Series de Cartoon Network",4.5,5,Steven Universe
"Ariel Winter,Aubrey Anderson-Emmons,Ed O'Neill,Eric Stonestreet,Jeremy Maguire,Jesse Tyler Ferguson,Julie Bowen,Nolan Gould,Reid Ewing,Rico Rodriguez,Sarah Hyland,Sofía Vergara",FINALIZADA,2009,"Comedia,Series de ABC",5,11,Modern Family
"Brendan Hunt,Brett Goldstein,Hannah Waddingham,Jason Sudeikis,Jeremy Swift,Juno Temple,Nick Mohammed,Phil Dunster",EMISION,2020,"Comedia,Series de Apple TV+",3.5,1,Ted Lasso
"Alfre Woodard,Mike Colter,Mustafa Shakir,Rosario Dawson,Simone Missick,Theo Rossi",FINALIZADA,2016,"Acción,Aventura,Ciencia ficción,Crimen,Drama,Fantasía,Marvel,Series de Netflix",5,2,Luke Cage
"Aislinn Derbez,Arturo Ríos,Cecilia Suárez,Dario Yazbek Bernal,Juan Pablo Medina,Luis de la Rosa,Norma Angélica,Paco León",EMISION,2018,"Comedia,Drama,Series de Netflix",4.5,3,La casa de las flores
"Masaba Gupta,Neena Gupta,Neil Bhoopalam,Satyadeep Misra,Sunita Rajwar",EMISION,2020,"Comedia,Drama,Series de Netflix",0,1,Masaba Masaba
"Angely Gaviria,Carlos Quintero,Duban Prado,Dylan Fuentes,Lenard Vanderaa,Luis Fernando Hoyos,Sebastián Eslava,Sofia Araujo,Valeria Emiliani,Verónica Orozco",EMISION,2019,"Ciencia ficción,Drama,Fantasía,Series de Netflix",4,2,Siempre Bruja
"Anna Favella,César Bordón,Diego Boneta,Juan Pablo Zurita,Óscar Jaenada",EMISION,2018,"Drama,Series de Netflix",3,1,Luis Miguel: La Serie
"Frieda Barnhard,Hans Kesting,Jade Olieberg,Lisa Smit,Rifka Lodeizen,Tobias Kersloot",EMISION,2020,"Misterio,Series de Netflix",2.5,1,Ares
"Anna Castillo,Debi Mazar,Fabiana García Lago,Inma Cuesta,Julián Villagrán,Ken Appledorn,Osmar Nuñez,Paco León",FINALIZADA,2018,"Comedia,Drama,Series de Movistar+",5,1,Arde Madrid
"Alberto Ajaka,Balthazar Murillo,Sofía Gala Castiglione,Vanesa González",EMISION,2019,"Drama,Series de Netflix",4,1,Apache: La vida de Carlos Tevez
"Amybeth McNulty,Aymeric Jett Montaz,Corrine Koslo,Dalila Bela,Geraldine James,Lucas Jade Zumann,R. H. Thomson",FINALIZADA,2017,"Drama,Familia",4.5,3,Anne with an E
"Ana de la Reguera,Andrés Almeida,Eduardo España,Paulina Dávila,Tina Romero",EMISION,2020,"Comedia,Series de Amazon",3.5,1,Ana
"Angelica Ross,Berko Maya Rose,Billie Lourd,Cody Fern,Emma Roberts,Gus Kenworthy,Jacquie Barnbrook,John Carroll Lynch,Leslie Grossman,Matthew Morrison,Zach Villa",EMISION,2011,"Ciencia ficción,Drama,Fantasía,Misterio,Series de FOX",4,10,American Horror Story
"Álex González,Claudia Traisac,José Coronado",FINALIZADA,2018,"Crimen,Drama,Series de Telecinco",4,2,Vivir sin Permiso
"Alba Flores,Ana María Picchio,Claudia Riera,Daniel Ortiz,Isabel Naveira,Itziar Castro,Lisi Linder,Lucas Ferraro,Maggie Civantos,Najwa Nimri,Ramiro Blas",EMISION,2020,"Drama,Series de FOX",3.5,1,Vis a vis: El Oasis
"Ariana Grande,Avan Jogia,Daniella Monet,Elizabeth Gillies,Eric Lange,Jake Farrow,Leon G. Thomas III,Matt Bennett,Michael Eric Reid,Victoria Justice",FINALIZADA,2010,"Comedia,Drama,Familia,Series de Nickelodeon",4.5,4,Victorious
"Eric McCormack,Jared Abrahamson,MacKenzie Porter,Nesta Cooper,Patrick Gilmore,Reilly Dolman",FINALIZADA,2016,"Drama,Ciencia ficción,Fantasía,Series de Netflix,Series de Showcase",4,3,Viajeros
"Daniela Santiago,Ester Expósito,Goya Toledo,Isabela Torres,Jedet Sánchez,La Zowi,Lola Dueñas,Lola Rodriguez",EMISION,2020,"Comedia,Documental,Drama,Series de Atresplayer",4,1,Veneno
"Aleks Paunovic,Caroline Cave,Christopher Heyerdahl,John Cassini,Jonathan Scarfe,Keeya King,Kelly Overton,Neal McDonough,Nicole Muñoz,Rukiya Bernard,Tricia Helfer,Vincent Gale",EMISION,2016,"Acción,Aventura,Ciencia ficción,Fantasía,Misterio,Series de Syfy",4.5,4,Van Helsing
"Aliocha Schneider,Dylan Robert,Juliette Cardinski,Kate Moran,Mounir Amamra,Oulaya Amamra,Pierre Lottin,Suzanne Clément",EMISION,2020,"Drama,Ciencia ficción,Fantasía,Series de Netflix",3,1,Vampiros
"Christopher Sommers,Elizabeth Cullen,Jamie Carter,Julian Cullen,Kimie Tsukakoshi,Melanie Zanetti,Mia Milnes,Nicholas Bell,Rainbow Wedell",EMISION,2018,"Ciencia ficción,Fantasía",5,1,Agencia de asuntos mágicos
"Anjelica Bette Fellini,Kadeem Hardison,Maddie Phillips",EMISION,2020,"Comedia,Crimen,Drama,Series de Netflix",5,1,Adolescentes cazadoras de recompensas
,EMISION,2014,"Reality,Series de MTV",4,7,Acapulco Shore
"Amanda Campana,Coco Rebecca Edogamhe,Ludovico Tersigni",EMISION,2020,"Drama,Series de Netflix",4,1,A tres metros sobre el cielo: La serie
"Diana Gómez,Ibrahim Al Shami,Maxi Iglesias,Paula Malia,Silma López,Teresa Riott",EMISION,2020,"Comedia,Drama,Series de Netflix",4,1,Valeria
"Andre Braugher,Andy Samberg,Joe Lo Truglio,Melissa Fumero,Stephanie Beatriz,Terry Crews",EMISION,2013,"Comedia,Crimen,Series de FOX,Series de NBC",5,7,Brooklyn Nine-Nine
"Aaron Paul,Anna Gunn,Betsy Brandt,Bob Odenkirk,Bryan Cranston,Dean Norris,Jonathan Banks,RJ Mitte",FINALIZADA,2008,Drama,4,5,Breaking Bad
"Alden Ehrenreich,Hannah John-Kamen,Harry Lloyd,Jessica Brown Findlay,Joseph Morgan,Kylie Bunbury,Nina Sosanya,Sen Mitsuji",EMISION,2020,"Drama,Ciencia ficción,Fantasía,Series de Peacock",5,1,Brave New World
"Amy Aquino,Jamie Hector,Lance Reddick,Titus Welliver",EMISION,2014,"Crimen,Drama,Misterio,Series de Amazon",0,6,Bosch
